filename,Maneuvering
00852569.png,0.2407
00852648.png,0.0415
00852685.png,-0.0149
00852722.png,-0.2104
00852758.png,-0.0695
00852872.png,-0.9302
00852912.png,0.7697
00852953.png,-0.4591
00852994.png,-0.4988
00853035.png,-0.2466
00853076.png,-0.1435
00853117.png,-0.115
00853158.png,-0.0837
00853281.png,-0.2939
00853322.png,0.8452
00853363.png,0.3181
00853485.png,0.1247
00853688.png,-0.006
00853809.png,-0.1393
00853850.png,-0.0036
00853891.png,-0.0429
00853932.png,0.1673
00854092.png,-0.1686
00854169.png,0.7532
00854209.png,0.2
00854250.png,0.1291
00854620.png,-0.7863
00854661.png,-0.4295
00854702.png,-0.3167
00854907.png,-0.3202
00854989.png,-0.1071
00855030.png,-0.1681
00855152.png,-0.0895
00855191.png,-0.2937
00855476.png,0.1087
00855557.png,-0.1772
00855872.png,-0.224
00855912.png,-0.1774
00856497.png,-0.8744
00856536.png,-0.8414
00856568.png,0.8875
00856575.png,-0.9194
00856613.png,0.0215
00856652.png,-0.81
00856684.png,0.7909
00856691.png,-0.7469
00856723.png,0.7334
00856730.png,-0.7421
00856808.png,-0.7417
00856840.png,0.8756
00856848.png,-0.8192
00857120.png,0.2677
00857159.png,0.6131
00857199.png,-0.3225
00857240.png,-0.2614
00857281.png,-0.2702
00857322.png,-0.1822
00857363.png,-0.2327
00857404.png,-0.2751
00857445.png,-0.2011
00857527.png,-0.1377
00857568.png,-0.0092
00857732.png,0.1039
00857814.png,0.0254
00857936.png,-0.0135
00858138.png,0.2263
00858367.png,0.5823
00858374.png,-0.2083
00858456.png,-0.2986
00858498.png,0.0461
00858539.png,0.0484
00858703.png,-0.108
00858744.png,0.1722
00858867.png,-0.2032
00858907.png,-0.1247
00858946.png,-0.02
00858985.png,0.0388
00859149.png,0.0808
00859189.png,-0.1678
00859230.png,0.4462
00859467.png,-0.2287
00859508.png,-0.8143
00859631.png,-0.0505
00859672.png,-0.088
00859795.png,0.0019
00860195.png,-0.8718
00860235.png,-0.0762
00860276.png,-0.0442
00860359.png,-0.0243
00860482.png,-0.0584
00860523.png,-0.2916
00861217.png,0.8738
00861260.png,0.8826
00861545.png,-0.1459
00861583.png,-0.9827
00861623.png,0.0669
00861705.png,-0.2291
00861746.png,0.2767
00861869.png,-0.0819
00862032.png,-0.0816
00862112.png,-0.0167
00862153.png,0.1015
00862193.png,0.1671
00862234.png,0.1942
00862392.png,-0.1323
00862469.png,-0.3061
00862510.png,0.0828
00862551.png,-0.1133
00862592.png,-0.1478
00862633.png,-0.193
00862756.png,-0.024
00862879.png,-0.1717
00863121.png,-0.1516
00863477.png,-0.1532
00863518.png,-0.918
00863724.png,0.0603
00863806.png,0.129
00863846.png,0.2114
00864008.png,0.1538
00864049.png,0.0628
00864208.png,0.1837
00864327.png,-0.3197
00864368.png,-0.2413
00864409.png,0.1228
00864532.png,-0.0041
00864614.png,0.1027
00864816.png,0.1401
00865059.png,0.1761
00865413.png,-0.1526
00865495.png,0.0056
00865903.png,0.0339
00865942.png,0.1417
00866103.png,0.5126
00866376.png,0.1326
00866417.png,-0.0488
00866581.png,0.0176
00866621.png,0.1315
00866662.png,-0.2505
00866785.png,-0.289
00866988.png,0.0735
00867028.png,-0.0829
00867437.png,-0.093
00867477.png,-0.1136
00867518.png,-0.1093
00867681.png,-0.2333
00868048.png,-0.3076
00868089.png,-0.1756
00868130.png,-0.0024
00868170.png,-0.2802
00868650.png,-0.0697
00868689.png,-0.9296
00868728.png,0.0391
00868971.png,0.9948
00869214.png,-0.0792
00869373.png,-0.0828
00869450.png,-0.2686
00869900.png,-0.0849
00869979.png,0.1508
00870540.png,-0.0149
00870786.png,-0.1108
00870947.png,0.0343
00870987.png,0.0856
02173208.png,0.4223
02173249.png,0.6087
02173289.png,0.7163
02173329.png,0.5812
02174887.png,0.7354
02176606.png,0.2379
02176727.png,0.3744
02176766.png,-0.7948
02177772.png,-0.5738
02178478.png,0.258
02178916.png,0.7652
02179079.png,0.0256
02179445.png,0.2834
02179486.png,0.3823
02179566.png,-0.6261
02179607.png,-0.7969
02179612.png,-0.7784
02179648.png,-0.6981
02181158.png,0.0794
02181403.png,0.6098
02181444.png,0.3196
02181485.png,0.6281
02181525.png,0.7326
02181565.png,0.0957
02181922.png,0.1609
02182234.png,0.0372
02182910.png,0.2341
02183032.png,0.2071
02183073.png,-0.1737
02183114.png,0.1412
02183236.png,0.675
02183317.png,0.6401
02183358.png,0.4051
02183399.png,0.3962
02183480.png,0.0824
02184456.png,0.3635
02184496.png,0.4019
02184536.png,0.7293
02184617.png,-0.4377
02184658.png,0.0003
02184699.png,0.0986
02184903.png,0.006
02185801.png,0.0392
02185883.png,-0.3169
02186492.png,-0.1732
02187421.png,-0.1476
02187461.png,0.0664
02187583.png,-0.2894
02188021.png,-0.0513
02191443.png,-0.1538
02191635.png,-0.0234
02192832.png,-0.1989
02193114.png,-0.75
02193195.png,-0.8531
02193236.png,0.8713
02193359.png,-0.9696
02193522.png,0.8084
02194337.png,0.9531
02194339.png,0.2832
02194378.png,0.9406
02194380.png,0.3916
02194421.png,0.4382
02194462.png,-0.7652
02194501.png,0.7532
02194503.png,0.676
02194585.png,0.4469
02194627.png,-0.0418
02194669.png,-0.0631
02194751.png,0.3138
02195879.png,0.1117
02195919.png,0.2969
02196000.png,0.1269
02196040.png,0.0635
02196203.png,0.8983
02196244.png,-0.2268
02196838.png,-0.1158
02197042.png,-0.3327
02198262.png,-0.0064
02198341.png,-0.0067
02198461.png,-0.3035
02198496.png,0.9722
02198501.png,0.7504
02198536.png,0.931
02198541.png,-0.3937
02198577.png,0.7015
02198582.png,0.1748
02198618.png,0.8522
02198623.png,0.1741
02198658.png,0.5079
02198663.png,0.4459
02199191.png,0.2466
02199231.png,-0.111
02199475.png,0.0394
02199515.png,-0.2875
02199555.png,-0.5275
02199596.png,0.6086
02200748.png,0.7134
02200829.png,-0.6104
02200870.png,-0.6649
02200910.png,-0.7038
02200951.png,-0.7155
02200992.png,-0.7187
02201032.png,-0.718
02201073.png,-0.7162
02201400.png,-0.7107
02201441.png,-0.7103
02201481.png,-0.7125
02201520.png,0.6954
02201522.png,-0.8293
02201563.png,-0.8617
02201604.png,-0.8617
02201645.png,-0.8582
02201686.png,-0.81
02201724.png,0.7399
02201727.png,-0.7905
02201767.png,-0.7929
02201808.png,-0.7886
02201849.png,-0.7645
02201890.png,-0.6871
02201931.png,-0.4911
02203594.png,0.1612
02203750.png,-0.4932
02204064.png,-0.2213
02204103.png,-0.2831
02204570.png,-0.6124
02205026.png,0.432
02206090.png,-0.3793
02206384.png,0.4648
02206602.png,-0.8183
02206614.png,0.9149
02206652.png,0.9571
02206731.png,0.9608
02207327.png,0.6077
02207496.png,-0.1468
02208359.png,0.7126
02208955.png,-0.9116
02209156.png,-0.6377
02209167.png,0.9788
02209549.png,0.5169
02209628.png,0.0343
02210027.png,-0.2252
02211822.png,-0.0485
02213012.png,0.825
02213605.png,0.5091
02213849.png,0.7196
02213889.png,0.0983
02215706.png,0.1809
02217391.png,-0.0131
02217978.png,-0.0027
02218015.png,-0.0329
02218051.png,-0.095
02219709.png,-0.672
02220002.png,0.5305
02220043.png,0.5348
02220084.png,0.6085
02220124.png,0.589
02220164.png,0.3076
02220205.png,0.4538
02220245.png,0.6518
02220528.png,0.1331
02220568.png,0.3648
02220609.png,0.1191
02220649.png,0.1689
02220729.png,0.6454
02220770.png,0.396
02220810.png,-0.049
02220851.png,0.3486
02221456.png,0.5784
02221496.png,0.8458
02221536.png,0.2654
02221577.png,0.4851
02221617.png,0.6389
02221657.png,0.5505
02221697.png,0.4598
02221859.png,0.675
02221899.png,0.7101
02221938.png,0.7346
02222462.png,0.3391
02222927.png,-0.1432
02223729.png,0.5998
02223769.png,0.5742
02223810.png,0.7701
02223849.png,0.859
02224090.png,0.0517
02224331.png,0.3591
02224372.png,-0.45
02224452.png,0.1318
02224493.png,-0.0101
02226005.png,0.2445
02226209.png,-0.0259
02226331.png,0.5014
02226371.png,0.6693
02226411.png,0.7549
02226572.png,0.1827
02226611.png,0.0516
02227451.png,0.1746
02228102.png,0.9168
02228112.png,-0.6344
02228153.png,-0.6245
02228184.png,0.9391
02228193.png,-0.5835
02228585.png,-0.542
02228625.png,-0.4866
02228706.png,-0.3185
02228746.png,-0.9809
02229952.png,0.0812
02230841.png,0.0078
02231964.png,0.0134
02504389.png,-0.0496
02505953.png,0.4791
02508636.png,0.2762
02509267.png,0.3992
02509818.png,0.0016
02509860.png,0.255
02510819.png,0.8637
02511937.png,0.7417
02511978.png,0.5608
02512059.png,0.1568
02512531.png,-0.201
02512811.png,0.0405
02512972.png,0.6967
02513352.png,-0.5512
02516117.png,-0.5758
02517749.png,-0.957
02518099.png,0.0834
02518140.png,0.1134
02518468.png,-0.9854
02518937.png,-0.0665
02519128.png,0.0574
02519173.png,0.4532
02521067.png,0.5281
02521267.png,-0.5114
02523144.png,0.7128
02524263.png,-0.0849
02524443.png,0.4474
02524520.png,0.8659
02524920.png,-0.8802
02524961.png,-0.9171
02525197.png,0.5731
02525928.png,0.374
02526518.png,0.1637
02526992.png,0.0372
02527401.png,0.315
02527654.png,-0.0056
02527690.png,0.1039
02527839.png,0.3023
02528023.png,0.3549
02528515.png,-0.0301
02528556.png,0.0096
02530175.png,-0.9027
02530256.png,-0.0448
02530497.png,-0.9549
02531175.png,0.5155
02531259.png,-0.0804
02532137.png,-0.7912
02532142.png,-0.0558
02532345.png,0.0952
02532700.png,-0.9656
02532905.png,-0.8023
02532945.png,-0.3135
02533180.png,-0.9747
02533509.png,0.1013
02533904.png,0.0295
